ID,SALES_PRICE,FINISHED_AREA,BEDROOMS,BATHROOMS,GARAGE_SIZE,YEAR_BUILT,STYLE,LOT_SIZE,AIR_CONDITIONER,POOL,QUALITY,HIGHWAY
41,165.5,1460,3,2,2,1960,1,22493,YES,NO,LOW,NO
42,183.5,1540,3,2,2,1992,2,15801,YES,NO,LOW,NO
43,135,1388,2,1,2,1951,1,26106,NO,NO,LOW,NO
44,175,1624,3,2,2,1948,1,39219,YES,NO,LOW,NO
45,149.5,1580,2,1,2,1966,1,11166,YES,NO,LOW,NO
46,177.5,1820,3,2,2,1960,1,22104,YES,NO,LOW,NO
47,155,1733,4,1,1,1936,2,22398,YES,NO,LOW,NO
48,145,1896,3,2,2,1925,3,32753,NO,NO,LOW,NO
49,178,2038,2,2,2,1918,3,47884,NO,NO,LOW,NO
50,156,1436,3,2,3,1920,1,43594,NO,NO,LOW,NO
51,159,1690,3,2,1,1922,3,28518,NO,NO,LOW,NO
52,160,1496,2,2,1,1900,3,43335,NO,NO,LOW,NO
53,112,1668,2,1,1,1948,1,19612,NO,NO,LOW,NO
54,84,980,1,1,1,1951,1,17686,NO,NO,LOW,NO
55,155,2562,3,2,2,1885,3,40800,NO,NO,LOW,NO
56,360,2304,5,4,3,1978,1,70240,YES,NO,MEDIUM,NO
57,104,1268,2,1,1,1947,1,21067,NO,NO,LOW,NO
58,420,2283,3,3,3,1997,1,18524,YES,NO,HIGH,YES
59,355,2060,2,3,2,1997,1,38623,YES,NO,MEDIUM,YES
60,165,2087,2,2,2,1966,1,24764,YES,NO,MEDIUM,YES
61,244,2081,4,2,2,1980,2,24993,YES,NO,MEDIUM,YES
62,179.9,1696,3,3,2,1978,2,22294,YES,NO,MEDIUM,YES
63,253,2222,4,2,2,1955,1,71527,NO,NO,MEDIUM,YES
64,200,2110,5,3,2,1957,1,15332,YES,NO,MEDIUM,YES
65,200,1774,4,2,2,1963,1,15528,NO,NO,LOW,YES
66,147.7,1592,3,2,2,1957,1,11221,YES,NO,LOW,YES
67,188.7,1748,3,2,2,1972,1,23939,YES,NO,LOW,YES
68,177,1985,3,1,2,1948,1,69975,NO,NO,LOW,YES
69,585,2558,2,4,3,1984,2,24601,YES,YES,HIGH,NO
70,549.9,4000,6,5,3,1979,3,23595,YES,YES,HIGH,NO
71,675,3942,4,3,2,1990,3,18920,YES,NO,HIGH,NO
72,830,3889,4,4,3,1991,3,28378,YES,NO,HIGH,NO
73,920,3857,4,5,3,1997,1,32793,YES,NO,HIGH,NO
74,855,4756,4,4,3,1990,3,22215,YES,NO,HIGH,NO
75,585.5,3302,4,3,3,1982,3,26463,YES,NO,HIGH,NO
76,399,2629,3,3,2,1989,3,24778,YES,NO,HIGH,NO
77,790,4418,5,5,3,1997,3,22024,YES,NO,HIGH,NO
78,665,4746,4,4,3,1996,3,23368,YES,NO,HIGH,NO
79,725,3242,3,3,3,1989,1,27173,YES,NO,HIGH,NO
80,647,2464,3,3,3,1992,1,31703,YES,NO,HIGH,NO
81,780,4419,4,5,7,1987,1,56127,YES,NO,HIGH,NO
82,657.5,3877,3,3,3,1992,3,24639,YES,NO,HIGH,NO
83,578,3808,5,4,3,1982,3,23324,YES,NO,HIGH,NO
84,500,3376,5,4,2,1947,3,18452,YES,NO,HIGH,NO
85,484.53,2940,3,3,3,1979,3,20639,YES,YES,HIGH,NO
86,609,2654,5,3,3,1997,1,12821,YES,NO,HIGH,NO
87,635,2672,4,3,3,1995,1,28049,YES,NO,HIGH,NO
88,519,3386,4,4,3,1994,3,24008,YES,NO,HIGH,NO
89,625.1,3648,4,4,3,1992,3,26604,YES,NO,HIGH,NO
90,585.444,3455,4,5,3,1995,3,22468,YES,NO,HIGH,NO
91,399.9,3321,3,4,3,1971,3,15012,YES,YES,HIGH,NO
92,389.9,2817,4,3,3,1996,3,31214,YES,NO,HIGH,NO
93,649,3210,3,5,3,1995,1,30033,YES,NO,HIGH,NO
94,535,3588,4,5,3,1987,3,22530,YES,NO,HIGH,NO
95,640,2705,3,3,3,1994,1,22196,YES,NO,HIGH,NO
96,600,2344,4,3,2,1925,1,86004,YES,NO,HIGH,NO
97,582.5,4264,5,4,4,1995,3,24983,YES,NO,HIGH,NO
98,545,2615,3,3,3,1996,1,21722,YES,NO,HIGH,NO
99,480,3608,6,4,3,1981,3,25219,YES,NO,HIGH,NO
100,595,2479,4,4,3,1989,1,29805,YES,NO,HIGH,NO
101,610,3251,3,4,3,1985,1,25570,YES,YES,HIGH,NO
102,570,2547,2,3,3,1996,1,21789,YES,NO,HIGH,NO
103,479,5032,7,3,3,1989,3,22000,YES,NO,HIGH,NO
104,545,4973,6,6,3,1987,3,56139,YES,YES,HIGH,NO
105,335,2582,4,3,2,1966,2,23256,YES,NO,HIGH,NO
106,629,3139,6,4,2,1977,1,21810,YES,YES,HIGH,NO
107,505.5,3516,4,4,3,1979,3,19867,YES,NO,HIGH,NO
108,528.75,2129,0,0,3,1992,1,37414,YES,NO,HIGH,NO
109,370,2936,4,4,3,1987,3,16437,YES,NO,HIGH,NO
110,529,3351,5,4,3,1994,3,24216,YES,NO,HIGH,NO
111,490,3136,4,4,3,1989,3,27158,YES,NO,HIGH,NO
112,535,3525,4,5,3,1996,3,27501,YES,NO,HIGH,NO
113,612,3917,6,5,3,1995,3,37972,YES,NO,HIGH,NO
114,442.5,2702,4,3,3,1991,1,39643,YES,NO,HIGH,NO
115,500,3644,3,4,3,1984,3,21895,YES,NO,HIGH,NO
116,539,3072,4,4,3,1992,1,25158,YES,NO,HIGH,NO
117,545.5,3233,4,4,3,1991,3,22961,YES,NO,HIGH,NO
118,424,2918,4,4,3,1988,3,22003,YES,NO,HIGH,NO
119,325,3266,4,3,3,1985,3,16640,YES,NO,HIGH,NO
120,367,2940,4,7,2,1988,3,22003,YES,NO,HIGH,NO
121,470,3430,3,4,2,1966,3,25018,YES,YES,HIGH,NO
122,393,2472,4,4,3,1987,1,21784,YES,NO,HIGH,NO
123,530,2878,4,4,3,1992,1,68351,YES,NO,HIGH,NO
124,400,2537,3,3,2,1993,1,11053,YES,NO,HIGH,NO
125,403.5,3858,4,4,3,1987,3,22224,YES,NO,HIGH,NO
126,550,2742,3,3,3,1991,1,22306,YES,NO,HIGH,NO
127,380,3460,5,4,2,1972,1,18571,YES,NO,HIGH,NO
128,500,3836,5,4,3,1982,3,48465,YES,NO,HIGH,NO
129,465,4453,7,5,2,1974,3,15595,YES,NO,HIGH,NO
130,451.5,4080,5,4,3,1983,3,22134,YES,NO,HIGH,NO
131,336,3301,3,4,2,1977,2,18741,YES,NO,HIGH,NO
132,550,3828,4,5,2,1975,1,17051,YES,YES,HIGH,NO
133,450,2973,4,3,2,1980,3,21999,YES,NO,MEDIUM,NO
134,440,2821,5,4,2,1962,1,32914,YES,YES,MEDIUM,NO
135,515,2950,5,3,2,1969,1,21598,YES,NO,MEDIUM,NO
136,415,2362,3,3,2,1977,2,21604,YES,NO,MEDIUM,NO
137,380,3092,3,4,2,1978,2,20081,YES,NO,MEDIUM,NO
138,489.5,2866,4,4,2,1982,3,22424,NO,NO,MEDIUM,NO
139,478,3369,5,4,3,1981,3,21161,YES,NO,MEDIUM,NO
140,460,3068,4,4,3,1988,3,18289,YES,NO,MEDIUM,NO
141,379.9,2380,3,3,3,1998,1,21999,YES,NO,MEDIUM,NO
142,390,2225,2,3,3,1997,1,38722,YES,NO,MEDIUM,NO
143,338,2655,3,3,2,1948,1,21960,YES,NO,MEDIUM,NO
144,675,3855,4,4,3,1996,3,35845,YES,NO,MEDIUM,NO
145,440,2892,4,4,2,1977,3,35839,YES,NO,MEDIUM,NO
146,500,3832,4,3,2,1952,1,28722,YES,NO,MEDIUM,NO
147,470,3164,6,4,2,1982,3,20505,YES,NO,MEDIUM,NO
148,317.5,2620,3,2,3,1925,3,12266,YES,NO,MEDIUM,NO
149,430,3076,6,4,3,1984,3,26648,YES,NO,MEDIUM,NO
150,430,4022,6,4,3,1986,3,18429,YES,NO,MEDIUM,NO
151,475,3377,4,3,3,1997,3,22495,YES,NO,MEDIUM,NO
152,389,2858,5,4,1,1989,3,23981,YES,NO,MEDIUM,NO
153,400,3540,4,4,3,1980,3,18012,YES,YES,MEDIUM,NO
154,395,3045,4,3,1,1991,3,34356,YES,NO,MEDIUM,NO
155,395,4150,4,3,3,1934,3,21778,NO,NO,MEDIUM,NO
156,296,1778,2,2,2,1991,3,24022,YES,NO,MEDIUM,NO
157,387.5,2412,2,3,3,1986,2,22676,YES,NO,MEDIUM,NO
158,353,2668,4,3,2,1978,2,18384,YES,NO,MEDIUM,NO
159,350,2274,4,3,3,1986,1,22049,YES,NO,MEDIUM,NO
160,437.632,2936,4,3,3,1980,3,22844,YES,NO,MEDIUM,NO
161,447.5,2526,2,2,0,1996,1,28248,YES,NO,MEDIUM,NO
162,318.5,2449,4,4,2,1985,2,22075,YES,NO,MEDIUM,NO
163,352,3131,4,4,2,1988,3,15209,YES,NO,MEDIUM,NO
164,295,2536,3,3,3,1987,3,39427,YES,NO,MEDIUM,NO
165,313.5,3314,2,3,3,1984,3,24339,YES,NO,MEDIUM,NO
166,330,2230,3,2,2,1986,1,24798,YES,NO,MEDIUM,NO
167,400,2631,4,4,2,1985,3,44885,NO,NO,MEDIUM,NO
168,325,2638,4,3,2,1978,2,25747,YES,NO,MEDIUM,NO
169,340,2756,4,3,2,1973,3,22546,YES,YES,MEDIUM,NO
170,399.9,3262,5,4,2,1978,3,25541,YES,NO,MEDIUM,NO
171,249.9,1936,4,4,3,1987,2,12850,YES,NO,MEDIUM,NO
172,389,3148,4,4,3,1969,3,16587,YES,YES,MEDIUM,NO
173,364.5,2616,3,4,2,1977,3,32655,YES,NO,MEDIUM,NO
174,357.5,3630,4,3,2,1969,3,23283,YES,NO,MEDIUM,NO
175,295,1954,3,3,3,1962,2,19300,YES,YES,MEDIUM,NO
176,274.5,1926,5,3,2,1986,3,26418,YES,NO,MEDIUM,NO
177,259,2556,3,2,2,1957,1,80886,YES,NO,MEDIUM,NO
178,415,2282,5,4,2,1987,2,23003,YES,NO,MEDIUM,NO
179,443,3314,3,4,3,1986,3,22012,YES,NO,MEDIUM,NO
180,249,2001,3,3,2,1981,2,23812,YES,NO,MEDIUM,NO
181,330,2607,5,2,2,1976,2,23139,YES,NO,MEDIUM,NO
182,291,2840,4,4,2,1965,3,23079,YES,NO,MEDIUM,NO
183,418,3036,3,5,2,1977,3,33746,NO,NO,MEDIUM,NO
184,320,2240,4,2,3,1974,2,18682,YES,NO,MEDIUM,NO
185,264,1788,3,3,2,1969,1,18484,NO,NO,MEDIUM,NO
186,381,2620,5,4,2,1965,3,28093,YES,NO,MEDIUM,NO
187,250,1480,3,3,2,1984,2,14230,YES,NO,MEDIUM,NO
188,360,2588,3,3,2,1968,2,19004,YES,YES,MEDIUM,NO
189,369.5,3138,4,4,2,1969,3,18190,YES,NO,MEDIUM,NO
190,285.4,2460,5,4,2,1979,3,27492,YES,NO,MEDIUM,NO
191,409,3566,4,4,2,1976,3,18044,YES,NO,MEDIUM,NO
192,333,2692,5,4,3,1984,3,22020,YES,NO,MEDIUM,NO
193,362,2958,5,4,3,1987,3,45200,YES,NO,MEDIUM,NO
194,387.5,3164,4,4,2,1966,3,23856,YES,YES,MEDIUM,NO
195,239,2058,3,3,2,1969,2,21046,YES,NO,MEDIUM,NO
196,299.9,2717,3,4,2,1983,3,22083,YES,NO,MEDIUM,NO
197,335,2920,4,3,3,1987,3,22434,YES,NO,MEDIUM,NO
198,275,2554,5,3,2,1960,3,21820,YES,NO,MEDIUM,NO
199,328,2805,3,4,2,1988,3,22582,YES,NO,MEDIUM,NO
200,333,2736,4,3,2,1979,3,29591,YES,YES,MEDIUM,NO
201,397,3516,5,7,3,1996,3,34795,YES,NO,MEDIUM,NO
202,374.8,3536,6,4,2,1978,3,19997,YES,YES,MEDIUM,NO
203,520,2138,5,3,3,1956,1,86830,YES,NO,MEDIUM,NO
204,325,2718,4,4,3,1978,3,22842,YES,NO,MEDIUM,NO
205,295,2178,5,3,2,1958,1,25891,YES,NO,MEDIUM,NO
206,415,3152,5,4,2,1980,3,24446,YES,NO,MEDIUM,NO
207,224.9,2611,3,3,2,1987,3,6924,YES,NO,MEDIUM,NO
208,265,2060,4,3,2,1981,2,13091,YES,NO,MEDIUM,NO
209,299.9,2448,4,4,3,1979,3,26790,YES,NO,MEDIUM,NO
210,390,4050,6,5,2,1966,3,18262,YES,YES,MEDIUM,NO
211,271,2414,3,3,2,1914,3,24357,YES,NO,MEDIUM,NO
212,330,3072,4,3,2,1966,3,16431,YES,NO,MEDIUM,NO
213,350,2525,3,3,3,1983,2,27138,YES,NO,MEDIUM,NO
214,310,2866,5,3,3,1961,3,25249,YES,NO,MEDIUM,NO
215,340,3246,4,4,3,1987,3,52218,YES,NO,MEDIUM,NO
216,307,2707,4,4,2,1992,3,22094,YES,NO,MEDIUM,NO
217,304,2300,5,3,2,1961,2,35824,YES,NO,MEDIUM,NO
218,275.9,1860,3,3,2,1957,1,40741,YES,NO,MEDIUM,NO
219,315,3636,5,3,2,1976,3,19776,YES,NO,MEDIUM,NO
220,295,1910,4,3,2,1968,1,30996,YES,NO,MEDIUM,NO
221,251.01,2280,4,2,2,1956,1,25543,YES,NO,MEDIUM,NO
222,335,3386,4,5,2,1965,3,38428,NO,NO,MEDIUM,NO
223,343.5,2324,5,4,3,1967,2,22435,YES,NO,MEDIUM,NO
224,297,1970,4,3,2,1972,2,25814,YES,NO,MEDIUM,NO
225,281,2062,3,3,2,1977,2,23608,YES,YES,MEDIUM,NO
226,235,2617,4,3,2,1985,3,8903,YES,NO,MEDIUM,NO
227,237,2612,4,3,2,1985,3,10144,YES,NO,MEDIUM,NO
228,274.9,2472,3,3,2,1969,3,22451,YES,NO,MEDIUM,NO
229,229.9,1922,4,2,2,1957,1,15791,YES,NO,MEDIUM,NO
230,259,1852,3,2,2,1984,2,22204,YES,NO,MEDIUM,NO
231,245,2239,3,3,2,1986,2,22216,YES,NO,MEDIUM,NO
232,208,2068,3,2,2,1979,1,34773,YES,NO,MEDIUM,NO
233,421,2101,3,3,2,1956,1,65499,NO,NO,MEDIUM,NO
234,320,2200,4,3,2,1968,1,31450,YES,NO,MEDIUM,NO
235,256,1972,3,3,2,1989,2,32027,NO,NO,MEDIUM,NO
236,275,2007,3,3,2,1959,2,21311,YES,YES,MEDIUM,NO
237,222,2612,4,3,2,1985,3,8229,YES,NO,MEDIUM,NO
238,249.9,2124,4,1,3,1974,2,21834,YES,NO,MEDIUM,NO
239,273.5,2612,4,3,2,1985,3,8924,YES,NO,MEDIUM,NO
240,218.5,2548,2,2,2,1984,2,10210,YES,NO,MEDIUM,NO
241,377,2767,3,3,3,1941,2,75232,YES,NO,MEDIUM,NO
242,220,2025,3,3,2,1989,2,19618,YES,NO,MEDIUM,NO
243,192.9,1956,4,2,2,1962,2,21779,YES,NO,MEDIUM,NO
244,298.75,2460,4,3,2,1967,2,23907,YES,NO,MEDIUM,NO
245,315,2764,3,3,3,1972,3,23947,YES,NO,MEDIUM,NO
246,315,2004,4,3,2,1967,2,24453,YES,NO,MEDIUM,NO
247,465.9,2852,4,3,2,1961,3,34040,YES,YES,MEDIUM,NO
248,239.5,2096,3,3,2,1977,1,15237,YES,NO,MEDIUM,NO
249,276,2330,3,3,2,1989,3,17433,YES,NO,MEDIUM,NO
250,226,2520,4,3,2,1978,3,12145,YES,NO,MEDIUM,NO
251,235,2528,3,3,2,1977,2,26469,YES,NO,MEDIUM,NO
252,247,2030,4,3,3,1988,2,23202,YES,NO,MEDIUM,NO
253,182,2208,2,2,2,1985,3,6734,YES,NO,MEDIUM,NO
254,180,1500,2,1,0,1938,2,39776,YES,NO,MEDIUM,NO
255,249,2078,5,3,2,1965,1,21512,YES,NO,MEDIUM,NO
256,260,2442,4,3,2,1969,2,21149,YES,NO,MEDIUM,NO
257,219.9,2612,3,3,2,1986,3,11288,YES,NO,MEDIUM,NO
258,295,2268,4,3,3,1972,2,23976,YES,NO,MEDIUM,NO
259,290,2734,4,3,2,1971,3,23488,YES,NO,MEDIUM,NO
260,300,2228,4,3,2,1982,2,21232,YES,NO,MEDIUM,NO
261,354.9,3000,5,4,3,1973,3,21643,YES,NO,MEDIUM,NO
262,261,2404,5,3,3,1973,2,17791,YES,YES,MEDIUM,NO
263,174.5,1840,3,2,2,1960,1,16356,YES,NO,MEDIUM,NO
264,244.9,2107,3,2,2,1947,3,30050,NO,NO,MEDIUM,NO
265,274.9,2788,4,3,2,1984,3,18960,YES,NO,MEDIUM,NO
266,214,2416,3,3,2,1984,2,15594,YES,NO,MEDIUM,NO
267,283,2430,3,4,3,1984,3,18164,YES,NO,MEDIUM,NO
268,177.9,1584,3,2,2,1989,2,13947,YES,NO,MEDIUM,NO
269,237.5,1873,3,3,2,1978,2,21998,YES,NO,MEDIUM,NO
270,202.15,1644,4,3,2,1976,2,19499,YES,NO,MEDIUM,NO
271,235,2400,4,3,2,1976,3,44347,YES,NO,MEDIUM,NO
272,217,2094,4,3,2,1984,2,18617,YES,NO,MEDIUM,NO
273,285,2561,3,3,3,1981,3,18985,YES,NO,MEDIUM,NO
274,217.5,1752,3,2,2,1976,2,24053,YES,NO,MEDIUM,NO
275,210,1738,5,3,2,1983,2,15206,YES,NO,MEDIUM,NO
276,183.34,2068,3,2,3,1977,1,24325,YES,NO,MEDIUM,NO
277,252,2428,4,3,2,1966,3,22727,YES,NO,MEDIUM,NO
278,237,2090,4,2,2,1969,1,22055,YES,NO,MEDIUM,NO
279,205,1820,3,2,2,1944,2,28023,YES,NO,MEDIUM,NO
280,285,3219,4,4,2,1944,3,28200,YES,NO,MEDIUM,NO
281,210,2654,3,5,2,1962,1,28882,YES,NO,MEDIUM,NO
282,280,1802,4,3,2,1956,1,27700,YES,NO,MEDIUM,NO
283,207,1765,3,2,2,1976,2,22983,YES,NO,MEDIUM,NO
284,221,2786,4,3,2,1976,3,22875,YES,NO,MEDIUM,NO
285,257,1794,3,2,2,1960,2,21691,YES,NO,MEDIUM,NO
286,274,2768,3,3,2,1921,3,26268,NO,NO,MEDIUM,NO
287,262,2288,3,2,2,1963,2,16975,YES,NO,MEDIUM,NO
288,204.4,2028,3,2,2,1951,1,26777,YES,NO,MEDIUM,NO
289,254.9,2620,5,3,2,1966,3,27989,YES,NO,MEDIUM,NO
290,244,1644,3,3,2,1980,2,32164,YES,NO,MEDIUM,NO
291,213,1888,3,2,3,1958,1,14757,YES,NO,MEDIUM,NO
292,240,2116,4,3,2,1964,3,22041,YES,NO,MEDIUM,NO
293,235,2313,4,3,2,1972,3,24705,YES,NO,MEDIUM,NO
294,206,1824,4,2,2,1959,1,14748,YES,NO,MEDIUM,NO
295,237,1942,4,3,2,1972,2,23105,YES,NO,MEDIUM,NO
296,274,2184,4,3,2,1977,2,19090,YES,NO,MEDIUM,NO
297,275,2578,3,3,2,1965,3,22299,YES,NO,MEDIUM,NO
298,218.4,2036,4,3,2,1960,3,21996,YES,NO,MEDIUM,NO
299,156,1384,2,1,2,1961,1,26706,NO,NO,MEDIUM,NO
300,220,1826,4,3,2,1952,1,19870,YES,NO,MEDIUM,NO
301,171.5,1681,3,2,1,1957,1,15985,YES,NO,MEDIUM,NO
302,180,1726,3,2,2,1962,1,26769,YES,NO,MEDIUM,NO
303,204,1910,3,2,2,1958,2,15423,YES,NO,MEDIUM,NO
304,307,2664,4,3,2,1962,3,22684,YES,NO,MEDIUM,NO
305,265,2116,3,3,2,1976,2,33344,YES,NO,MEDIUM,NO
306,209.9,2030,3,3,2,1959,1,21914,YES,NO,MEDIUM,NO
307,173,1940,3,2,2,1956,2,11610,NO,NO,MEDIUM,NO
308,189,1676,3,3,2,1965,2,21780,NO,NO,MEDIUM,NO
309,222.5,2120,3,2,2,1959,1,17883,YES,YES,MEDIUM,NO
310,265,2152,4,3,2,1987,1,26075,YES,NO,MEDIUM,NO
311,264.67,1984,4,3,2,1966,1,31204,YES,NO,MEDIUM,NO
312,200.75,1575,3,3,2,1957,1,25543,YES,NO,MEDIUM,NO
313,227.9,1798,3,3,2,1978,2,17820,YES,NO,MEDIUM,NO
314,255,2017,3,1,1,1958,2,86571,NO,NO,MEDIUM,NO
315,208.5,1904,3,3,2,1978,2,15559,YES,NO,MEDIUM,NO
316,226.9,1718,3,3,2,1976,2,49613,YES,NO,MEDIUM,NO
317,215,1776,4,2,1,1980,2,22839,NO,NO,MEDIUM,NO
318,222.95,2609,4,3,2,1961,1,26087,YES,NO,MEDIUM,NO
319,239.9,2226,3,3,2,1955,2,13520,YES,NO,MEDIUM,NO
320,176,1556,2,1,3,1959,2,15623,YES,NO,MEDIUM,NO
321,228,1764,2,2,2,1985,2,8105,YES,NO,MEDIUM,NO
322,204.9,1626,3,3,2,1968,2,15288,YES,YES,MEDIUM,NO
323,258,2012,5,3,2,1967,2,21303,YES,NO,MEDIUM,NO
324,241.85,2090,4,4,2,1963,3,22010,YES,NO,MEDIUM,NO
325,198.5,2192,4,2,2,1963,2,22851,YES,NO,MEDIUM,NO
326,243,2228,4,4,2,1965,3,21881,YES,NO,MEDIUM,NO
327,187,1825,4,2,2,1963,2,15810,YES,NO,MEDIUM,NO
328,233,2132,4,3,2,1966,2,17159,YES,NO,MEDIUM,NO
329,205,2160,3,2,2,1983,3,16555,YES,NO,MEDIUM,NO
330,205,1974,3,2,2,1954,1,26196,YES,NO,MEDIUM,NO
331,189,1696,3,3,2,1968,1,31851,YES,NO,MEDIUM,NO
332,204.9,2132,3,3,2,1969,3,23986,YES,NO,MEDIUM,NO
333,239,1814,4,3,2,1979,2,24698,YES,YES,MEDIUM,NO
334,193,1796,3,2,2,1963,2,29281,YES,NO,MEDIUM,NO
335,260,2268,5,3,2,1971,2,35240,YES,NO,MEDIUM,NO
336,188,1719,2,3,2,1960,1,22009,YES,NO,MEDIUM,NO
337,190.5,1704,3,2,2,1984,2,22583,YES,NO,MEDIUM,NO
338,230,2142,3,2,2,1959,1,22223,YES,NO,MEDIUM,NO
339,240,1705,4,2,2,1972,1,42322,YES,NO,MEDIUM,NO
340,235,1752,4,3,2,1978,2,39267,YES,NO,MEDIUM,NO
341,275,2554,5,3,2,1966,3,22381,YES,YES,MEDIUM,NO
342,205,1650,3,2,2,1965,2,27235,YES,NO,MEDIUM,NO
343,280,2816,5,3,2,1946,3,29109,YES,NO,MEDIUM,NO
344,190,1919,3,4,2,1938,3,20093,YES,NO,MEDIUM,NO
345,232.5,2080,3,2,2,1968,1,32021,YES,NO,MEDIUM,NO
346,259.5,2108,4,4,2,1978,3,24685,YES,NO,MEDIUM,NO
347,275,2480,3,3,2,1964,1,22144,YES,NO,MEDIUM,NO
348,183.9,1746,3,2,2,1974,2,52136,YES,NO,MEDIUM,NO
349,290,2703,3,3,4,1963,1,43599,NO,NO,MEDIUM,NO
350,217.95,1640,4,2,2,1979,2,21314,YES,NO,MEDIUM,NO
351,220,2196,4,3,2,1972,3,17899,YES,NO,MEDIUM,NO
352,185,1701,3,2,1,1982,2,21938,YES,NO,MEDIUM,NO
353,288,2250,3,2,2,1949,2,23684,YES,NO,MEDIUM,NO
354,197.5,2502,4,2,2,1964,3,23749,YES,NO,MEDIUM,NO
355,179.975,1762,4,3,2,1959,1,15742,YES,NO,MEDIUM,NO
356,195,2016,4,3,2,1963,2,18102,YES,NO,MEDIUM,NO
357,228.4,1904,3,3,2,1976,2,14945,YES,YES,MEDIUM,NO
358,194.75,1652,5,2,2,1960,1,24644,YES,NO,MEDIUM,NO
359,195,2042,4,3,2,1963,2,21849,NO,NO,MEDIUM,NO
360,210,2019,4,3,3,1960,2,14837,YES,NO,MEDIUM,NO
361,239.55,2791,5,3,3,1946,2,22863,YES,NO,MEDIUM,NO
362,242,2514,4,3,1,1953,3,17535,YES,NO,MEDIUM,NO
363,185,1746,3,2,2,1984,2,12386,YES,NO,MEDIUM,NO
364,175,1930,3,2,2,1956,2,15923,YES,NO,MEDIUM,NO
365,165,1552,3,1,3,1959,2,27068,YES,NO,MEDIUM,NO
366,185,1566,4,2,2,1993,2,13504,YES,NO,MEDIUM,NO
367,173.194,1669,3,2,2,1964,2,24643,YES,NO,MEDIUM,NO
368,205.15,1814,3,3,2,1978,2,18714,YES,NO,MEDIUM,NO
369,214.2,1794,3,3,3,1976,2,24308,YES,NO,MEDIUM,NO
370,182.5,1691,3,2,2,1968,2,21961,YES,YES,MEDIUM,NO
371,205,1834,4,3,2,1959,1,30726,YES,NO,MEDIUM,NO
372,208,1984,5,3,2,1961,1,22047,YES,NO,MEDIUM,NO
